Date,Open,High,Low,Close,Volume
1985-10-01,326.0,327.7,324.9,327.1,29497
1985-10-02,327.0,329.7,326.0,328.3,26469
1985-10-03,329.5,335.7,328.1,333.9,44750
1985-10-04,334.5,334.5,330.3,332.2,28029
1985-10-07,331.0,331.3,329.3,330.5,17678
1985-10-08,330.0,330.9,328.5,328.6,17851
1985-10-09,330.5,331.7,328.4,329.0,21863
1985-10-10,329.0,329.4,327.7,329.1,13092
1985-10-11,329.3,331.2,328.9,330.7,14618
1985-10-14,330.0,330.4,329.2,329.8,4861
1985-10-15,330.0,331.4,328.8,329.1,12342
1985-10-16,327.8,328.4,325.5,326.8,22535
1985-10-17,328.2,329.8,328.0,328.4,16975
1985-10-18,329.5,330.0,328.6,329.7,11408
1985-10-21,329.0,329.6,327.7,329.4,14800
1985-10-22,329.4,331.7,325.5,330.1,36778
1985-10-23,330.0,330.3,328.0,329.0,17113
1985-10-24,328.5,329.2,327.8,328.2,11075
1985-10-25,328.2,329.8,327.5,329.4,13616
1985-10-28,328.9,329.3,328.5,328.9,6171
1985-10-29,329.6,329.7,327.9,329.3,16013
1985-10-30,328.9,329.4,327.6,327.8,15564
1985-10-31,328.2,328.4,325.0,326.7,25552
1985-11-01,325.7,330.3,324.5,328.1,30867
1985-11-04,327.2,327.5,326.6,327.1,12107
1985-11-05,326.8,327.4,326.1,326.2,9904
1985-11-06,326.5,326.8,325.3,325.5,16517
1985-11-07,325.0,325.2,322.1,323.1,29795
1985-11-08,323.3,325.8,322.9,325.6,21368
1985-11-11,324.4,324.9,323.9,324.5,6227
1985-11-12,324.8,326.4,324.1,325.8,19801
1985-11-13,325.8,328.3,325.5,326.2,25631
1985-11-14,326.5,327.3,325.3,325.8,16860
1985-11-15,325.8,326.7,323.8,324.7,17253
1985-11-18,324.8,325.3,324.0,324.7,9746
1985-11-19,325.2,325.7,324.1,324.7,8878
1985-11-20,325.8,327.5,325.7,326.8,19526
1985-11-21,327.1,327.5,326.1,327.4,21297
1985-11-22,327.5,329.5,326.1,327.4,36882
1985-11-25,330.2,333.4,329.8,332.7,50290
1985-11-26,336.4,336.9,335.4,335.6,50265
1985-11-27,334.8,334.9,330.0,330.2,49124
1985-11-29,331.0,331.5,326.8,327.3,26784
1985-12-02,327.8,328.5,322.8,326.5,52527
1985-12-03,326.2,327.1,325.7,326.7,21136
1985-12-04,329.0,329.0,325.5,325.7,16729
1985-12-05,325.9,327.1,325.7,326.9,15110
1985-12-06,326.3,326.8,325.7,326.2,13557
1985-12-09,322.5,322.9,318.3,319.8,48552
1985-12-10,319.0,321.8,318.5,321.2,37901
1985-12-11,316.5,321.0,315.5,320.1,43540
1985-12-12,319.1,321.4,318.7,320.4,24135
1985-12-13,321.6,322.3,320.5,322.2,23948
1985-12-16,321.5,325.8,321.2,324.9,37864
1985-12-17,325.5,325.8,323.5,323.9,31192
1985-12-18,323.4,327.6,322.2,327.3,37420
1985-12-19,326.2,330.8,326.2,327.2,37054
1985-12-20,327.8,329.4,326.8,328.7,19237
